#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
55000,109.99999999992504,-8078562.050231613,300.34916512479435,0
60000,119.99999999990173,-8080432.401794113,300.1420746464166,39.6
65000,129.99999999989262,-8081161.909606613,300.66325703528906,39.7
70000,139.99999999994037,-8082413.862731613,299.8789925742932,39.7
75000,149.99999999998812,-8080270.308044113,300.1323118163542,39.7
80000,160.00000000003587,-8084047.604919113,299.8441931605415,39.7
85000,170.00000000008362,-8081607.979919113,300.46925206401653,39.7
90000,180.00000000013137,-8082492.401794113,300.9787920296742,39.7
95000,190.0000000001791,-8081373.198669113,300.06315945627756,39.7
100000,200.00000000022686,-8076109.276794113,301.0069300540565,39.7
105000,210.0000000002746,-8082164.409606613,300.17207900870943,39.7
110000,220.00000000032236,-8078491.964294113,299.82413892001466,39.7
115000,230.0000000003701,-8082332.253356613,299.71239296715896,39.7
120000,240.00000000041786,-8083905.542419113,300.5833553239524,39.7
125000,250.0000000004656,-8082145.245544113,300.26667373600174,39.7
130000,260.00000000051335,-8080586.409606613,301.20840435397554,39.7
135000,270.0000000005611,-8079635.050231613,300.23040688349124,39.7
140000,280.00000000060885,-8082879.284606613,300.33090694357867,39.7
145000,290.0000000006566,-8081633.456481613,300.8332731074207,39.8
150000,300.00000000070435,-8085863.675231613,300.1327223635402,39.8
155000,310.0000000007521,-8079129.792419113,300.0763000001678,39.8
160000,320.00000000079984,-8083780.003356613,300.5912369678506,39.8
165000,330.0000000008476,-8081208.253356613,300.5189844193381,39.8
170000,340.00000000089534,-8077990.940856613,301.0027478492772,39.8
175000,350.0000000009431,-8084600.643981613,299.8562243140592,39.8
180000,360.00000000099084,-8082783.448669113,299.71981941951856,39.8
185000,370.0000000010386,-8078319.815856613,300.3582424930874,39.8
190000,380.00000000108633,-8083165.683044113,300.5850704315859,39.8
195000,390.0000000011341,-8080148.058044113,299.8416793058785,39.8
200000,400.00000000118183,-8079731.456481613,300.673755964973,39.8
205000,410.0000000012296,-8082899.151794113,300.0460562887634,39.8
210000,420.00000000127733,-8082233.495544113,299.8023589977722,39.8
215000,430.0000000013251,-8081983.643981613,300.37839127038836,39.8
220000,440.0000000013728,-8084297.440856613,300.78954220306053,39.8
225000,450.0000000014206,-8079086.276794113,300.1342913210015,39.8
