time_ns,rmsd_angstrom
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.277908682823181152e+00
1.000000000000000056e-01,1.560082077980041504e+00
1.500000000000000222e-01,1.658956170082092285e+00
2.000000000000000111e-01,1.769431352615356445e+00
2.500000000000000000e-01,1.841958284378051758e+00
3.000000000000000444e-01,1.941934585571289062e+00
3.500000000000000333e-01,2.068588018417358398e+00
4.000000000000000222e-01,2.062233448028564453e+00
4.500000000000000111e-01,2.199102878570556641e+00
5.000000000000000000e-01,2.358205318450927734e+00
5.500000000000000444e-01,2.319046974182128906e+00
6.000000000000000888e-01,2.252427816390991211e+00
6.500000000000000222e-01,2.330375671386718750e+00
7.000000000000000666e-01,2.299089908599853516e+00
7.500000000000000000e-01,2.300873756408691406e+00
8.000000000000000444e-01,2.350695610046386719e+00
8.500000000000000888e-01,2.431939601898193359e+00
9.000000000000000222e-01,2.402301788330078125e+00
9.500000000000000666e-01,2.347071647644042969e+00
1.000000000000000000e+00,2.340482711791992188e+00
1.050000000000000044e+00,2.413877010345458984e+00
1.100000000000000089e+00,2.456803321838378906e+00
1.150000000000000133e+00,2.518769264221191406e+00
1.200000000000000178e+00,2.598062753677368164e+00
1.250000000000000000e+00,2.595402479171752930e+00
1.300000000000000044e+00,2.585518360137939453e+00
1.350000000000000089e+00,2.724229812622070312e+00
1.400000000000000133e+00,2.669445991516113281e+00
1.450000000000000178e+00,2.739163875579833984e+00
1.500000000000000000e+00,2.807540655136108398e+00
1.550000000000000044e+00,2.845810890197753906e+00
1.600000000000000089e+00,2.870800018310546875e+00
1.650000000000000133e+00,2.852771997451782227e+00
1.700000000000000178e+00,2.854767322540283203e+00
1.750000000000000000e+00,2.844919204711914062e+00
1.800000000000000044e+00,2.816595554351806641e+00
1.850000000000000089e+00,2.932962179183959961e+00
1.900000000000000133e+00,3.092103004455566406e+00
1.950000000000000178e+00,3.124324798583984375e+00
2.000000000000000000e+00,3.095959663391113281e+00
2.050000000000000266e+00,3.133942365646362305e+00
2.100000000000000089e+00,3.108505725860595703e+00
2.149999999999999911e+00,3.041854381561279297e+00
2.200000000000000178e+00,3.160864830017089844e+00
2.250000000000000000e+00,3.187033653259277344e+00
2.300000000000000266e+00,3.183489084243774414e+00
2.350000000000000089e+00,3.197320461273193359e+00
2.400000000000000355e+00,3.199013710021972656e+00
2.450000000000000178e+00,3.241219520568847656e+00
2.500000000000000000e+00,3.420741558074951172e+00
2.550000000000000266e+00,3.337275505065917969e+00
2.600000000000000089e+00,3.430878639221191406e+00
2.650000000000000355e+00,3.372378110885620117e+00
2.700000000000000178e+00,3.318937301635742188e+00
2.750000000000000000e+00,3.383707046508789062e+00
2.800000000000000266e+00,3.502037048339843750e+00
2.850000000000000089e+00,3.452246427536010742e+00
2.900000000000000355e+00,3.494895219802856445e+00
2.950000000000000178e+00,3.445689201354980469e+00
3.000000000000000000e+00,3.411834239959716797e+00
3.050000000000000266e+00,3.409559726715087891e+00
3.100000000000000089e+00,3.405016899108886719e+00
3.150000000000000355e+00,3.303381919860839844e+00
3.200000000000000178e+00,3.394180297851562500e+00
3.250000000000000000e+00,3.413853883743286133e+00
3.300000000000000266e+00,3.492804527282714844e+00
3.350000000000000089e+00,3.414428710937500000e+00
3.400000000000000355e+00,3.461455345153808594e+00
3.450000000000000178e+00,3.344460964202880859e+00
3.500000000000000000e+00,3.340931415557861328e+00
3.550000000000000266e+00,3.329689979553222656e+00
3.600000000000000089e+00,3.331985950469970703e+00
3.650000000000000355e+00,3.515082836151123047e+00
3.700000000000000178e+00,3.634157180786132812e+00
3.750000000000000000e+00,3.408595323562622070e+00
3.800000000000000266e+00,3.453467845916748047e+00
3.850000000000000089e+00,3.493272304534912109e+00
3.900000000000000355e+00,3.501279354095458984e+00
3.950000000000000178e+00,3.536030292510986328e+00
4.000000000000000000e+00,3.507834196090698242e+00
4.049999999999999822e+00,3.620229482650756836e+00
4.100000000000000533e+00,3.765913724899291992e+00
4.150000000000000355e+00,3.591922760009765625e+00
4.200000000000000178e+00,3.593587398529052734e+00
