#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
55000,109.99999999992504,-7424141.89962535,300.4967127593739,0
60000,119.99999999990173,-7424870.00900035,300.3948187017486,41.7
65000,129.99999999989262,-7423568.26681285,299.81630187922497,41.9
70000,139.99999999994037,-7422288.57150035,299.9326617350906,42
75000,149.99999999998812,-7427154.62618785,299.717357584136,42
80000,160.00000000003587,-7422890.03243785,300.52408707276885,42.1
85000,170.00000000008362,-7420257.64181285,300.2070744069949,42.1
90000,180.00000000013137,-7419336.35275035,300.8770591613627,42.1
95000,190.0000000001791,-7419172.84493785,299.9628192311402,42.1
100000,200.00000000022686,-7419355.36056285,300.6547881018044,42.1
105000,210.0000000002746,-7422860.91525035,299.88910170891165,42.2
110000,220.00000000032236,-7420530.89962535,299.66800005327946,42.2
115000,230.0000000003701,-7418398.42306285,299.9070727010321,42.2
120000,240.00000000041786,-7424534.03243785,300.487852261607,42.3
125000,250.0000000004656,-7420637.07150035,300.12713717081937,42.3
130000,260.00000000051335,-7422537.58712535,300.2237732891479,42.3
135000,270.0000000005611,-7424779.74337535,300.21976701469384,42.3
140000,280.00000000060885,-7426721.57150035,299.5901787033608,42.4
145000,290.0000000006566,-7423488.36837535,300.1174897136656,42.4
150000,300.00000000070435,-7422980.41525035,300.04057018434406,42.4
155000,310.0000000007521,-7425387.35275035,299.9463928334075,42.4
160000,320.00000000079984,-7420913.79806285,300.564795552197,42.5
165000,330.0000000008476,-7422081.46212535,299.95157245613865,42.5
170000,340.00000000089534,-7421932.21212535,300.066274220094,42.5
175000,350.0000000009431,-7417740.22775035,300.16942271176276,42.5
180000,360.00000000099084,-7423671.41525035,300.4468474272353,42.5
185000,370.0000000010386,-7424153.73556285,300.41518465731315,42.6
190000,380.00000000108633,-7418875.21212535,299.7077898138693,42.6
195000,390.0000000011341,-7421132.40743785,299.5381725249858,42.6
200000,400.00000000118183,-7420203.22775035,300.0027499236134,42.6
205000,410.0000000012296,-7424073.69650035,300.6056782502723,42.6
210000,420.00000000127733,-7426674.82150035,300.5753584853738,42.6
215000,430.0000000013251,-7422794.16525035,299.862491635779,42.6
220000,440.0000000013728,-7423188.97775035,299.44912902833045,42.6
225000,450.0000000014206,-7422096.54806285,300.2453295666248,42.6
230000,460.0000000014683,-7426130.12618785,300.695773485247,42.7
235000,470.00000000151607,-7423794.55587535,300.2041478079057,42.7
